Date the fixed rate was set	Fixed rate for bonds issued in the six months after that date
May 1, 2022	0.00%
November 1, 2021	0.00%
May 1, 2021	0.00%
November 1, 2020	0.00%
May 1, 2020	0.00%
November 1, 2019	0.20%
May 1, 2019	0.50%
November 1, 2018	0.50%
May 1, 2018	0.30%
November 1, 2017	0.10%
May 1, 2017	0.00%
November 1, 2016	0.00%
May 1, 2016	0.10%
November 1, 2015	0.10%
May 1, 2015	0.00%
November 1, 2014	0.00%
May 1, 2014	0.10%
November 1, 2013	0.20%
May 1, 2013	0.00%
November 1, 2012	0.00%
May 1, 2012	0.00%
November 1, 2011	0.00%
May 1, 2011	0.00%
November 1, 2010	0.00%
May 1, 2010	0.20%
November 1, 2009	0.30%
May 1, 2009	0.10%
November 1, 2008	0.70%
May 1, 2008	0.00%
November 1, 2007	1.20%
May 1, 2007	1.30%
November 1, 2006	1.40%
May 1, 2006	1.40%
November 1, 2005	1.00%
May 1, 2005	1.20%
November 1, 2004	1.00%
May 1, 2004	1.00%
November 1, 2003	1.10%
May 1, 2003	1.10%
November 1, 2002	1.60%
May 1, 2002	2.00%
November 1, 2001	2.00%
May 1, 2001	3.00%
November 1, 2000	3.40%
May 1, 2000	3.60%
November 1, 1999	3.40%
May 1, 1999	3.30%
November 1, 1998	3.30%
September 1, 1998	3.40%
